算法,数据�?隐藏比例,,acc,precision,recall,f1
adamatch,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
adamatch,bank,RATIO_0_2,0.625,0.3125,0.5,0.384615385
adamatch,bank,RATIO_0_3,0.75,0.375,0.5,0.428571429
adamatch,bank,RATIO_0_4,0.75,0.375,0.5,0.428571429
adamatch,bank,RATIO_0_5,0.75,0.375,0.5,0.428571429
adamatch,bank,RATIO_0_6,0.375,0.1875,0.5,0.272727273
adamatch,bank,RATIO_0_7,0.625,0.3125,0.5,0.384615385
adamatch,bank,RATIO_0_8,0.375,0.1875,0.5,0.272727273
adamatch,bank,RATIO_0_9,0.375,0.1875,0.5,0.272727273
adamatch,census,RATIO_0_1,0.75,0.375,0.5,0.428571429
adamatch,census,RATIO_0_2,0.625,0.3125,0.5,0.384615385
adamatch,census,RATIO_0_3,0.25,0.125,0.5,0.2
adamatch,census,RATIO_0_4,0.75,0.375,0.5,0.428571429
adamatch,census,RATIO_0_5,0.75,0.375,0.5,0.428571429
adamatch,census,RATIO_0_6,0.375,0.1875,0.5,0.272727273
adamatch,census,RATIO_0_7,0.375,0.1875,0.5,0.272727273
adamatch,census,RATIO_0_8,0.375,0.1875,0.5,0.272727273
adamatch,census,RATIO_0_9,0.375,0.1875,0.5,0.272727273
adamatch,credit,RATIO_0_1,0.75,0.375,0.5,0.428571429
adamatch,credit,RATIO_0_2,0.625,0.3125,0.5,0.384615385
adamatch,credit,RATIO_0_3,0.75,0.375,0.5,0.428571429
adamatch,credit,RATIO_0_4,0.75,0.375,0.5,0.428571429
adamatch,credit,RATIO_0_5,0.25,0.125,0.5,0.2
adamatch,credit,RATIO_0_6,0.375,0.1875,0.5,0.272727273
adamatch,credit,RATIO_0_7,0.625,0.3125,0.5,0.384615385
adamatch,credit,RATIO_0_8,0.375,0.1875,0.5,0.272727273
adamatch,credit,RATIO_0_9,0.375,0.1875,0.5,0.272727273
fixmatch,bank,RATIO_0_1,0.75,0.375,0.5,0.428571429
fixmatch,bank,RATIO_0_2,0.375,0.1875,0.5,0.272727273
