,Dataset,MissRate,K,RMSE,MSE,MAE,R2
0,BANK,0.1,0,0.5072493763922581,0.25730192985033473,0.18374243434936396,-0.4240926690908811
1,BANK,0.1,1,0.6064110089174707,0.3677343117363048,0.2531576105503449,-1.5032800150919656
2,BANK,0.1,2,0.584360016928206,0.3414766293843333,0.22692459857802103,-0.7948546237485475
3,BANK,0.1,3,0.5674075905372722,0.32195137379931277,0.20714776336344948,-0.6415276446477669
4,BANK,0.1,4,0.571892140443202,0.3270606203007071,0.2122636121876063,-0.6936753555848646
5,BANK,0.1,5,0.6393052870944458,0.4087112501069117,0.22166007431565607,-0.7580120510085419
6,BANK,0.1,6,0.6697087267105407,0.4485097786322538,0.22990453410790507,-0.8064094327521072
7,BANK,0.1,7,0.6703259952258869,0.44933693987557577,0.23073169535122706,-0.8645838629854422
8,BANK,0.1,8,0.6708352383774729,0.45001991704896094,0.23141467252461217,-0.9093555960873176
9,BANK,0.1,9,0.6724227268296147,0.45215232355697454,0.23354707903262578,-0.9339832852339235
10,BANK,0.1,10,0.6752044944869169,0.4559011093753329,0.2372958648509842,-0.9576516864037781
11,BANK,0.1,11,0.6757325218529573,0.45661444108975746,0.2380091965654087,-1.0119586823727738
12,BANK,0.1,12,0.6777789410712,0.45938429295959715,0.24077904843524844,-1.0360156269051668
13,BANK,0.1,13,0.6795568254180254,0.4617974789722247,0.24319223444787588,-1.0550141258982921
14,BANK,0.1,14,0.6799252377279238,0.4622983288993737,0.243693084375025,-1.1301151807985972
15,BANK,0.1,15,0.66643164397208,0.4441311360873291,0.22552589156298034,-0.9828889031887058
16,BANK,0.1,16,0.66750684502216,0.44556538815143787,0.2269601436270891,-1.0059799544552663
17,BANK,0.1,17,0.6677910001747774,0.4459448199144296,0.22733957539008087,-1.2890170680027313
18,BANK,0.1,18,0.6698446878780855,0.44869190587848984,0.2300866613541411,-1.3088284516427358
19,BANK,0.1,19,0.6728006852845674,0.45266076211938344,0.23405551759503473,-1.3177719522397697
20,BANK,0.1,20,0.6743441615233117,0.4547400481805782,0.23613480365622946,-1.3389666295878677
21,BANK,0.1,21,0.6775941764773533,0.45913386799602257,0.24052862347167386,-1.3732435112714523
22,BANK,0.1,22,0.6783888665086707,0.4602114542029191,0.24160620967857038,-1.417397082707878
23,BANK,0.1,23,0.6821537825177749,0.46533378300330774,0.24672853847895893,-1.4511297105774572
24,BANK,0.1,24,0.6824818770367738,0.46578151248363797,0.2471762679592892,-1.4963166647691408
25,BANK,0.1,25,0.683226455582961,0.4667983896084559,0.2481931450841071,-1.5411425570492572
26,BANK,0.1,26,0.6695557373962516,0.4483048854802383,0.22969964095588952,-1.401324792443266
27,BANK,0.1,27,0.6701844701230251,0.4491472239940799,0.23054197946973118,-1.4406798048070515
28,BANK,0.1,28,0.6717283092292708,0.45121892142001485,0.2326136768956661,-1.4647111345160033
29,BANK,0.1,29,0.6723888694389695,0.45210679174541557,0.23350154722106675,-1.4916035191977028
30,BANK,0.1,30,0.6735108983246839,0.4536169301621227,0.23501168563777391,-1.528277873689767
31,BANK,0.1,31,0.6750977153756308,0.45575692530539613,0.23715168078104734,-1.5623862775068387
32,BANK,0.1,32,0.6772424215637196,0.4586572975654909,0.23931077325998693,-1.603006892540836
33,BANK,0.2,0,0.33518442996843784,0.1123486020932666,0.0918847889169867,0.16581245501847414
34,BANK,0.2,1,0.5813093316105915,0.3379205390175527,0.2451446637176556,-1.5500536193742946
35,BANK,0.2,2,0.5577813325172398,0.3111200149047077,0.2183627627411849,-0.7619159525946173
36,BANK,0.2,3,0.539648570552394,0.29122057969924214,0.19821748752997764,-0.5992823157015971
37,BANK,0.2,4,0.542343263142712,0.2941362150762849,0.2011369294187743,-0.6326601121313383
38,BANK,0.2,5,0.5972965943673818,0.35676322164287266,0.20724074885234245,-0.6909152607799132
39,BANK,0.2,6,0.6394668569577262,0.4089178611473931,0.22133429021831463,-0.7452976822507187
40,BANK,0.2,7,0.64039171178839,0.41010154452726444,0.22251797359818598,-0.8303154011822822
41,BANK,0.2,8,0.6412708632491688,0.41122832005233423,0.22364474912325577,-0.9044006696477757
42,BANK,0.2,9,0.6434708567662374,0.4140547435074756,0.22647117257839722,-0.934182559070689
43,BANK,0.2,10,0.6451725295189086,0.41624759284582696,0.22866402191674856,-0.9394965003285212
44,BANK,0.2,11,0.6456868573995534,0.4169115178185112,0.22932794688943278,-0.9881141994806413
45,BANK,0.2,12,0.6475965709582598,0.41938131871689655,0.23179774778781811,-1.009894168374717
46,BANK,0.2,13,0.6496408428898591,0.4220332247506467,0.23444965382156824,-1.0319728949245457
47,BANK,0.2,14,0.6500582637731439,0.42257574629975436,0.23499217537067596,-1.1181694866037515
48,BANK,0.2,15,0.6350852727491577,0.403333303662872,0.21574973273379358,-0.971359438643475
49,BANK,0.2,16,0.636752753993632,0.4054540697184748,0.21787049878939635,-1.0271017120604773
50,BANK,0.2,17,0.6369493420042142,0.4057044642796014,0.21812089335052298,-1.2096300165649774
51,BANK,0.2,18,0.6397011613631381,0.4092175758493477,0.22163400492026927,-1.227881742480923
52,BANK,0.2,19,0.6420158658576901,0.4121843720129995,0.22460080108392105,-1.2398274590557956
53,BANK,0.2,20,0.6434826485115374,0.4140699189354227,0.22648634800634423,-1.2613262938628762
54,BANK,0.2,21,0.6459159687323724,0.4172074386634791,0.22962386773440058,-1.2839960141403808
55,BANK,0.2,22,0.6466468194100888,0.418152109053184,0.23056853812410558,-1.325150989400878
56,BANK,0.2,23,0.649226075461026,0.4214944970585258,0.23391092612944733,-1.3532813859949706
57,BANK,0.2,24,0.6496262429010338,0.42201425546571286,0.23443068453663443,-1.4082677794843692
58,BANK,0.2,25,0.6502829178809293,0.42286787328773545,0.235284302358657,-1.4446643327235384
59,BANK,0.2,26,0.6360612351790862,0.4045738948975448,0.2169903239684664,-1.3069468090784178
60,BANK,0.2,27,0.6368123325267894,0.40552994685821014,0.21794637592913169,-1.3579693132304909
61,BANK,0.2,28,0.6382613533739652,0.4073775552107657,0.21979398428168723,-1.3787305715604825
62,BANK,0.2,29,0.639098914786306,0.408447422881034,0.22086385195195554,-1.4118264159460887
63,BANK,0.2,30,0.6402702526205688,0.4099459963908069,0.22236242546172852,-1.4487976182815485
64,BANK,0.2,31,0.6417203334119332,0.4118049863143228,0.22422141538524437,-1.4760808103246104
65,BANK,0.2,32,0.6423230753597626,0.41257893313962324,0.22499536221054484,-1.5079720714994234
