method	acc
adamatch	0.75
adamatch	0.625
adamatch	0.75
adamatch	0.75
adamatch	0.75
adamatch	0.375
adamatch	0.625
adamatch	0.375
adamatch	0.375
adamatch	0.75
adamatch	0.625
adamatch	0.25
adamatch	0.75
adamatch	0.75
adamatch	0.375
adamatch	0.375
adamatch	0.375
adamatch	0.375
adamatch	0.75
adamatch	0.625
adamatch	0.75
adamatch	0.75
adamatch	0.25
adamatch	0.375
adamatch	0.625
adamatch	0.375
adamatch	0.375
fixmatch	0.75
fixmatch	0.375
fixmatch	0.25
fixmatch	0.75
fixmatch	0.25
fixmatch	0.625
fixmatch	0.625
fixmatch	0.625
fixmatch	0.375
fixmatch	0.25
fixmatch	0.625
fixmatch	0.75
fixmatch	0.25
fixmatch	0.75
fixmatch	0.625
fixmatch	0.625
fixmatch	0.375
fixmatch	0.375
fixmatch	0.25
fixmatch	0.625
fixmatch	0.25
fixmatch	0.25
fixmatch	0.75
fixmatch	0.375
fixmatch	0.375
fixmatch	0.625
fixmatch	0.625
flexmatch	0.75
flexmatch	0.625
flexmatch	0.25
flexmatch	0.25
flexmatch	0.75
flexmatch	0.375
flexmatch	0.625
flexmatch	0.625
flexmatch	0.375
flexmatch	0.25
flexmatch	0.625
flexmatch	0.75
flexmatch	0.25
flexmatch	0.25
flexmatch	0.625
flexmatch	0.625
flexmatch	0.375
flexmatch	0.625
flexmatch	0.75
flexmatch	0.625
flexmatch	0.25
flexmatch	0.75
flexmatch	0.75
flexmatch	0.625
flexmatch	0.625
flexmatch	0.625
flexmatch	0.375
fullysupervised	0.25
fullysupervised	0.625
fullysupervised	0.75
fullysupervised	0.75
fullysupervised	0.25
fullysupervised	0.625
fullysupervised	0.625
fullysupervised	0.625
fullysupervised	0.375
fullysupervised	0.25
fullysupervised	0.625
fullysupervised	0.25
fullysupervised	0.25
fullysupervised	0.75
fullysupervised	0.375
fullysupervised	0.375
fullysupervised	0.625
fullysupervised	0.625
fullysupervised	0.75
fullysupervised	0.375
fullysupervised	0.25
fullysupervised	0.75
fullysupervised	0.75
fullysupervised	0.625
fullysupervised	0.625
fullysupervised	0.375
fullysupervised	0.375
meanteacher	0.75
meanteacher	0.625
meanteacher	0.25
meanteacher	0.75
meanteacher	0.75
meanteacher	0.625
meanteacher	0.375
meanteacher	0.625
meanteacher	0.625
meanteacher	0.75
meanteacher	0.625
meanteacher	0.75
meanteacher	0.75
meanteacher	0.25
meanteacher	0.375
meanteacher	0.625
meanteacher	0.625
meanteacher	0.625
meanteacher	0.25
meanteacher	0.375
meanteacher	0.25
meanteacher	0.75
meanteacher	0.75
meanteacher	0.625
meanteacher	0.625
meanteacher	0.625
meanteacher	0.625
mixmatch	0.25
mixmatch	0.625
mixmatch	0.25
mixmatch	0.75
mixmatch	0.75
mixmatch	0.375
mixmatch	0.625
mixmatch	0.375
mixmatch	0.375
mixmatch	0.25
mixmatch	0.625
mixmatch	0.75
mixmatch	0.25
mixmatch	0.25
mixmatch	0.625
mixmatch	0.375
mixmatch	0.375
mixmatch	0.625
mixmatch	0.25
mixmatch	0.375
mixmatch	0.25
mixmatch	0.75
mixmatch	0.75
mixmatch	0.375
mixmatch	0.625
mixmatch	0.625
mixmatch	0.375
pimodel	0.25
pimodel	0.375
pimodel	0.25
pimodel	0.75
pimodel	0.25
pimodel	0.625
pimodel	0.375
pimodel	0.375
pimodel	0.625
pimodel	0.75
pimodel	0.625
pimodel	0.25
pimodel	0.75
pimodel	0.25
pimodel	0.375
pimodel	0.625
pimodel	0.375
pimodel	0.375
pimodel	0.75
pimodel	0.625
pimodel	0.75
pimodel	0.75
pimodel	0.25
pimodel	0.375
pimodel	0.625
pimodel	0.625
pimodel	0.375
pseudolabel	0.75
pseudolabel	0.625
pseudolabel	0.75
pseudolabel	0.75
pseudolabel	0.75
pseudolabel	0.375
pseudolabel	0.625
pseudolabel	0.625
pseudolabel	0.625
pseudolabel	0.25
pseudolabel	0.625
pseudolabel	0.25
pseudolabel	0.75
pseudolabel	0.25
pseudolabel	0.375
pseudolabel	0.625
pseudolabel	0.375
